source,target,following,followed_by
SenDougJones,SenToomey,FALSE,FALSE
SenDougJones,SenJackReed,FALSE,FALSE
SenDougJones,SenWhitehouse,TRUE,TRUE
SenDougJones,GrahamBlog,FALSE,FALSE
SenDougJones,SenatorTimScott,TRUE,TRUE
SenDougJones,SenatorRounds,FALSE,FALSE
SenDougJones,SenJohnThune,FALSE,FALSE
SenDougJones,SenAlexander,FALSE,FALSE
SenDougJones,BobCorker,FALSE,FALSE
SenDougJones,JohnCornyn,FALSE,FALSE
SenDougJones,SenTedCruz,FALSE,FALSE
SenDougJones,senorrinhatch,FALSE,FALSE
SenDougJones,SenMikeLee,FALSE,FALSE
SenDougJones,SenatorLeahy,FALSE,FALSE
SenDougJones,timkaine,FALSE,FALSE
SenDougJones,MarkWarner,TRUE,TRUE
SenDougJones,PattyMurray,TRUE,TRUE
SenDougJones,SenatorCantwell,TRUE,TRUE
SenDougJones,SenCapito,FALSE,FALSE
SenDougJones,Sen_JoeManchin,TRUE,TRUE
SenDougJones,SenatorBaldwin,FALSE,FALSE
SenDougJones,SenRonJohnson,FALSE,FALSE
SenDougJones,SenatorEnzi,TRUE,TRUE
SenDougJones,SenJohnBarrasso,FALSE,FALSE
lisamurkowski,SenShelby,TRUE,TRUE
lisamurkowski,SenDougJones,FALSE,FALSE
lisamurkowski,lisamurkowski,FALSE,FALSE
lisamurkowski,SenDanSullivan,TRUE,TRUE
lisamurkowski,SenJohnMcCain,FALSE,TRUE
lisamurkowski,JeffFlake,FALSE,TRUE
lisamurkowski,SenTomCotton,FALSE,TRUE
lisamurkowski,JohnBoozman,TRUE,TRUE
lisamurkowski,SenFeinstein,TRUE,TRUE
lisamurkowski,SenKamalaHarris,FALSE,FALSE
lisamurkowski,SenBennetCO,TRUE,TRUE
lisamurkowski,SenCoryGardner,TRUE,TRUE
lisamurkowski,ChrisMurphyCT,FALSE,TRUE
lisamurkowski,SenBlumenthal,TRUE,TRUE
lisamurkowski,SenatorCarper,TRUE,TRUE
lisamurkowski,ChrisCoons,TRUE,TRUE
lisamurkowski,SenBillNelson,FALSE,TRUE
lisamurkowski,marcorubio,FALSE,TRUE
lisamurkowski,sendavidperdue,TRUE,TRUE
lisamurkowski,SenatorIsakson,TRUE,TRUE
lisamurkowski,brianschatz,TRUE,TRUE
lisamurkowski,maziehirono,TRUE,TRUE
lisamurkowski,MikeCrapo,TRUE,TRUE
lisamurkowski,SenatorRisch,TRUE,TRUE
lisamurkowski,SenDuckworth,TRUE,FALSE
lisamurkowski,SenatorDurbin,TRUE,TRUE
lisamurkowski,SenDonnelly,TRUE,TRUE
lisamurkowski,SenToddYoung,TRUE,TRUE
lisamurkowski,ChuckGrassley,FALSE,TRUE
lisamurkowski,joniernst,FALSE,TRUE
lisamurkowski,SenPatRoberts,TRUE,TRUE
lisamurkowski,JerryMoran,TRUE,TRUE
lisamurkowski,SenateMajLdr,TRUE,TRUE
lisamurkowski,RandPaul,TRUE,FALSE
lisamurkowski,BillCassidy,FALSE,TRUE
lisamurkowski,SenJohnKennedy,TRUE,FALSE
lisamurkowski,SenAngusKing,FALSE,TRUE
lisamurkowski,SenatorCollins,TRUE,TRUE
lisamurkowski,ChrisVanHollen,FALSE,TRUE
lisamurkowski,SenatorCardin,TRUE,TRUE
lisamurkowski,SenMarkey,TRUE,TRUE
lisamurkowski,SenWarren,TRUE,FALSE
lisamurkowski,SenGaryPeters,TRUE,TRUE
lisamurkowski,SenStabenow,TRUE,TRUE
lisamurkowski,amyklobuchar,TRUE,TRUE
lisamurkowski,SenTinaSmith,FALSE,FALSE
lisamurkowski,SenThadCochran,TRUE,TRUE
lisamurkowski,SenatorWicker,TRUE,TRUE
lisamurkowski,clairecmc,FALSE,TRUE
lisamurkowski,RoyBlunt,TRUE,TRUE
lisamurkowski,SteveDaines,TRUE,TRUE
lisamurkowski,SenatorTester,TRUE,TRUE
lisamurkowski,SenatorFischer,TRUE,TRUE
